nazwa,Białystok,Bielsko-Biała,Bydgoszcz,Bytom,Chorzów,Częstochowa,Dąbrowa Górnicza,Elbląg,Gdańsk,Gdynia,Gliwice,Gorzów Wielkopolski,Grudziądz,Jastrzębie-Zdrój,Jaworzno,Jelenia Góra,Kalisz,Katowice,Kielce,Koszalin,Kraków,Legnica,Lublin,Łódź,Mysłowice,Nowy Sącz,Olsztyn,Opole,Ostrów Wielkopolski,Piaseczno,Piła,Płock,Poznań,Radom,Ruda Śląska,Rybnik,Rzeszów,Siedlce,Słupsk,Sosnowiec,Szczecin,Tarnów,Toruń,Tychy,Wałbrzych,Warszawa,Włocławek,Wrocław,Zabrze,Zielona Góra
Białystok,0,466,346,427,429,379,415,274,328,341,443,535,297,475,423,567,377,429,306,476,408,525,214,294,427,427,192,453,400,187,430,244,428,237,435,466,353,123,431,420,575,378,305,442,541,177,281,476,437,536
Bielsko-Biała,466,0,374,59,53,110,57,483,504,523,59,418,408,35,45,264,226,49,162,524,69,256,296,218,44,121,451,123,221,287,403,306,323,230,52,47,213,346,535,52,507,141,356,34,223,301,315,202,56,343
Bydgoszcz,346,374,0,315,321,269,322,148,143,159,318,191,64,355,336,292,152,326,309,169,366,248,375,181,333,432,180,273,165,236,84,130,108,288,322,339,441,309,162,326,233,403,43,341,288,227,88,234,319,215
Bytom,427,59,315,0,6,54,21,425,446,464,19,368,349,49,30,233,167,12,135,466,80,216,276,162,22,150,396,78,164,242,346,250,267,196,9,39,223,310,476,20,455,153,297,25,192,255,257,157,11,297
Chorzów,429,53,321,6,0,58,18,431,451,470,20,373,355,46,25,237,173,6,135,472,75,221,276,167,17,145,401,83,170,245,352,255,273,198,7,37,219,312,482,16,461,149,303,20,196,258,262,162,12,302
Częstochowa,379,110,269,54,58,0,54,373,395,414,66,343,299,103,68,239,128,61,106,426,101,213,246,108,67,173,342,86,131,193,307,197,234,156,62,90,221,266,431,59,427,159,247,77,201,205,205,150,62,282
Dąbrowa Górnicza,415,57,322,21,18,54,0,427,449,468,39,384,353,60,14,254,178,15,118,477,60,236,258,161,13,132,394,98,176,232,357,249,280,182,25,54,202,297,484,5,470,132,302,27,213,246,259,176,30,315
Elbląg,274,483,148,425,431,373,427,0,54,69,433,319,86,471,440,440,281,434,375,211,457,395,388,267,440,512,83,401,299,256,209,181,255,329,434,456,491,294,159,431,330,474,138,450,433,240,169,376,432,360
Gdańsk,328,504,143,446,451,395,449,54,0,20,451,289,96,489,463,431,291,455,410,161,485,388,435,293,462,544,136,413,306,299,184,212,244,369,453,474,531,344,106,454,288,508,149,471,430,284,190,377,451,341
Gdynia,341,523,159,464,470,414,468,69,20,0,470,295,115,508,482,444,308,474,429,157,505,401,453,312,481,564,152,430,323,318,193,232,258,389,472,492,551,362,98,473,288,528,167,490,444,303,210,392,469,351
